,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
0,2019-01-12T00:20:38,60.0,1.127139132122221,R,1.644,750_60s_b2x2-005_R.fit
1,2019-01-12T00:25:52,60.0,1.128444194009949,R,1.6706,750_60s_b2x2-010_R.fit
2,2019-01-12T00:31:07,60.0,1.1303830593328348,R,1.7071,750_60s_b2x2-015_R.fit
3,2019-01-12T01:01:39,60.0,1.1545568551244207,R,1.7161,750_60s_b2x2-020_R.fit
4,2019-01-12T01:06:56,60.0,1.161081089740742,R,1.8094,750_60s_b2x2-025_R.fit
5,2019-01-12T01:12:12,60.0,1.168316090966025,R,1.825,750_60s_b2x2-030_R.fit
6,2019-01-12T01:17:28,60.0,1.1763033830154592,R,1.916,750_60s_b2x2-035_R.fit
7,2019-01-12T01:22:44,60.0,1.1850677206583964,R,1.961,750_60s_b2x2-040_R.fit
8,2019-01-12T01:27:59,60.0,1.1946051530809452,R,2.036,750_60s_b2x2-045_R.fit
9,2019-01-12T02:09:25,60.0,1.302186514868809,R,2.0881,750_60s_b2x2-050_R.fit
