,NAME,DATE-OBS,EXP-TIME,FILTER,AIRMASS
3,2003YE45/2003YE45_50s_b2x2-060_R.fit,2019-01-31T22:57:17,50.0,R,1.0679884013810166
0,1998OH/1998OH_120s_b2x2-002_R.fit,2019-01-31T23:57:49,120.0,R,1.361477048005518
1,1998OH/1998OH_120s_b2x2-003_R.fit,2019-01-31T23:59:53,120.0,R,1.371870394931034
2,1998OH/1998OH_120s_b2x2-004_R.fit,2019-02-01T00:01:55,120.0,R,1.382353520252055
6,A10BMLZ/A10BMLZ_10s_b2x2-020_SF.fit,2019-02-01T01:02:17,10.0,No Filter,1.6535394028787314
7,A10BMLZ/A10BMLZ_10s_b2x2-040_SF.fit,2019-02-01T01:06:36,10.0,No Filter,1.6659359336431054
8,A10BMLZ/A10BMLZ_10s_b2x2-060_SF.fit,2019-02-01T01:10:56,10.0,No Filter,1.6792812091626472
9,GD108/GD108_15s_b2x2-008_R.fit,2019-02-01T01:41:50,15.0,R,1.1830143430355429
10,GD108/GD108_15s_b2x2-016_R.fit,2019-02-01T02:29:18,15.0,R,1.0680258498864377
11,GD108/GD108_15s_b2x2-024_R.fit,2019-02-01T02:40:47,15.0,R,1.0498160446384308
4,2003YE45/2003YE45_50s_b2x2-120_R.fit,2019-02-01T02:59:42,50.0,R,1.4045991043706585
5,2003YE45/2003YE45_50s_b2x2-180_R.fit,2019-02-01T03:54:45,50.0,R,1.8866594553007234
