,NAME,DATE-OBS,EXP-TIME,FILTER,AIRMASS
52,750/750_60s_b2x2-018_R.fit,2019-01-12T22:45:01,60.0,R,1.1302626682232353
53,750/750_60s_b2x2-028_R.fit,2019-01-12T22:55:30,60.0,R,1.13575001671262
54,750/750_60s_b2x2-038_R.fit,2019-01-12T23:06:00,60.0,R,1.1438481038094448
55,750/750_60s_b2x2-048_R.fit,2019-01-12T23:16:28,60.0,R,1.154604926921489
56,750/750_60s_b2x2-058_R.fit,2019-01-12T23:26:58,60.0,R,1.1682155651632526
57,750/750_60s_b2x2-068_R.fit,2019-01-12T23:37:28,60.0,R,1.1848142729182496
58,750/750_60s_b2x2-078_R.fit,2019-01-12T23:47:59,60.0,R,1.2046416460464902
59,750/750_60s_b2x2-088_R.fit,2019-01-12T23:58:28,60.0,R,1.2278508570014457
60,750/750_60s_b2x2-098_R.fit,2019-01-13T00:09:01,60.0,R,1.2549952498418866
61,750/750_60s_b2x2-108_R.fit,2019-01-13T00:19:31,60.0,R,1.2861666303226735
62,750/750_60s_b2x2-118_R.fit,2019-01-13T00:30:00,60.0,R,1.3218885837619998
36,2000NG11/2000NG11_60s_b2x2-001_R.fit,2019-01-13T00:38:18,60.0,R,1.4022135271623608
0,2000NG11/2000NG11_60s_b2x2-001_R.fit,2019-01-13T00:38:18,60.0,R,1.4022135271623608
37,2000NG11/2000NG11_60s_b2x2-002_R.fit,2019-01-13T00:39:21,60.0,R,1.4071740384209293
1,2000NG11/2000NG11_60s_b2x2-002_R.fit,2019-01-13T00:39:21,60.0,R,1.4071740384209293
2,2000NG11/2000NG11_60s_b2x2-003_R.fit,2019-01-13T00:40:24,60.0,R,1.4121976234555538
38,2000NG11/2000NG11_60s_b2x2-003_R.fit,2019-01-13T00:40:24,60.0,R,1.4121976234555538
3,2000NG11/2000NG11_60s_b2x2-004_R.fit,2019-01-13T00:41:28,60.0,R,1.4173741606645698
39,2000NG11/2000NG11_60s_b2x2-004_R.fit,2019-01-13T00:41:28,60.0,R,1.4173741606645698
32,2009SV12/2009SV12_70s_b2x2-001_R.fit,2019-01-13T00:51:59,70.0,R,1.9263362873594443
33,2009SV12/2009SV12_70s_b2x2-002_R.fit,2019-01-13T00:53:12,70.0,R,1.9137437652565172
34,2009SV12/2009SV12_70s_b2x2-003_R.fit,2019-01-13T00:54:25,70.0,R,1.9013665758093974
35,2009SV12/2009SV12_70s_b2x2-004_R.fit,2019-01-13T00:55:38,70.0,R,1.8892152741703112
18,GD108/GD108_10s_b2x2-001_R.fit,2019-01-13T01:20:52,10.0,R,1.7842408031143002
19,GD108/GD108_10s_b2x2-002_R.fit,2019-01-13T01:21:05,10.0,R,1.78178890838784
20,GD108/GD108_10s_b2x2-003_R.fit,2019-01-13T01:21:18,10.0,R,1.7793452457886156
21,GD108/GD108_10s_b2x2-004_R.fit,2019-01-13T01:21:30,10.0,R,1.777096837631608
63,2017BL3/2017BL3_70s_b2x2-003_NF.fit,2019-01-13T01:36:54,70.0,No Filter,1.9830782409807686
64,2017BL3/2017BL3_70s_b2x2-006_NF.fit,2019-01-13T01:40:33,70.0,No Filter,1.9677008147429915
65,2017BL3/2017BL3_70s_b2x2-009_NF.fit,2019-01-13T01:44:12,70.0,No Filter,1.9531085195995805
66,2017BL3/2017BL3_70s_b2x2-012_NF.fit,2019-01-13T01:47:52,70.0,No Filter,1.9393289617992864
67,2017BL3/2017BL3_70s_b2x2-015_NF.fit,2019-01-13T01:51:31,70.0,No Filter,1.9263946879599978
68,2017BL3/2017BL3_70s_b2x2-018_NF.fit,2019-01-13T01:55:11,70.0,No Filter,1.9141084734834872
22,GD108/GD108_10s_b2x2-005_R.fit,2019-01-13T02:03:00,10.0,R,1.4273380023456645
23,GD108/GD108_10s_b2x2-006_R.fit,2019-01-13T02:03:13,10.0,R,1.4259826250756569
24,GD108/GD108_10s_b2x2-007_R.fit,2019-01-13T02:03:25,10.0,R,1.4247348852569426
25,GD108/GD108_10s_b2x2-008_R.fit,2019-01-13T02:03:38,10.0,R,1.4233868063330293
40,2000NG11/2000NG11_60s_b2x2-005_R.fit,2019-01-13T02:10:15,60.0,R,2.210230871494312
4,2000NG11/2000NG11_60s_b2x2-005_R.fit,2019-01-13T02:10:15,60.0,R,2.210230871494312
41,2000NG11/2000NG11_60s_b2x2-006_R.fit,2019-01-13T02:11:18,60.0,R,2.2116318905609544
5,2000NG11/2000NG11_60s_b2x2-006_R.fit,2019-01-13T02:11:18,60.0,R,2.2116318905609544
42,2000NG11/2000NG11_60s_b2x2-007_R.fit,2019-01-13T02:12:21,60.0,R,2.2131144887176917
6,2000NG11/2000NG11_60s_b2x2-007_R.fit,2019-01-13T02:12:21,60.0,R,2.2131144887176917
7,2000NG11/2000NG11_60s_b2x2-008_R.fit,2019-01-13T02:13:24,60.0,R,2.2146370142286416
43,2000NG11/2000NG11_60s_b2x2-008_R.fit,2019-01-13T02:13:24,60.0,R,2.2146370142286416
28,2009SV17/2009SV17_70s_b2x2-001_R.fit,2019-01-13T02:20:14,70.0,R,1.3915937872096102
29,2009SV17/2009SV17_70s_b2x2-002_R.fit,2019-01-13T02:21:27,70.0,R,1.3877418354634339
30,2009SV17/2009SV17_70s_b2x2-003_R.fit,2019-01-13T02:22:41,70.0,R,1.3839483829578798
31,2009SV17/2009SV17_70s_b2x2-004_R.fit,2019-01-13T02:23:54,70.0,R,1.3802184828490343
26,GD108/GD108_10s_b2x2-009_R.fit,2019-01-13T03:13:10,10.0,R,1.1345127034915299
27,GD108/GD108_10s_b2x2-010_R.fit,2019-01-13T03:13:23,10.0,R,1.1339450506655855
44,2016TL18/2016TL18_40s_b2x2-001_NF.fit,2019-01-13T03:35:18,40.0,No Filter,2.2911370324982765
45,2016TL18/2016TL18_40s_b2x2-004_NF.fit,2019-01-13T03:37:27,40.0,No Filter,2.2784075060445894
46,2016TL18/2016TL18_40s_b2x2-007_NF.fit,2019-01-13T03:39:35,40.0,No Filter,2.266145338466819
47,2016TL18/2016TL18_40s_b2x2-010_NF.fit,2019-01-13T03:41:45,40.0,No Filter,2.2540952836189705
48,2016TL18/2016TL18_40s_b2x2-013_NF.fit,2019-01-13T03:43:53,40.0,No Filter,2.2426030091454594
49,2016TL18/2016TL18_40s_b2x2-016_NF.fit,2019-01-13T03:46:03,40.0,No Filter,2.231296569798313
50,2016TL18/2016TL18_40s_b2x2-019_NF.fit,2019-01-13T03:48:12,40.0,No Filter,2.2205006576818707
51,2016TL18/2016TL18_40s_b2x2-022_NF.fit,2019-01-13T03:50:21,40.0,No Filter,2.209987180812052
8,1998NU/1998NU_40s_b2x2-020_R.fit,2019-01-13T04:17:34,40.0,R,1.257919408402476
9,1998NU/1998NU_40s_b2x2-040_R.fit,2019-01-13T04:31:54,40.0,R,1.2948904134871784
10,1998NU/1998NU_40s_b2x2-060_R.fit,2019-01-13T04:46:13,40.0,R,1.3398414708408204
11,1998NU/1998NU_40s_b2x2-080_R.fit,2019-01-13T05:00:32,40.0,R,1.3940884316554232
12,1998NU/1998NU_40s_b2x2-100_R.fit,2019-01-13T05:14:54,40.0,R,1.4595601031919165
13,1998NU/1998NU_40s_b2x2-120_R.fit,2019-01-13T05:29:13,40.0,R,1.538036762512023
14,1998NU/1998NU_40s_b2x2-140_R.fit,2019-01-13T05:43:33,40.0,R,1.632845295227773
15,1998NU/1998NU_40s_b2x2-160_R.fit,2019-01-13T05:57:54,40.0,R,1.7481688796952264
16,1998NU/1998NU_40s_b2x2-180_R.fit,2019-01-13T06:12:14,40.0,R,1.8895130005923433
17,1998NU/1998NU_40s_b2x2-200_R.fit,2019-01-13T06:26:35,40.0,R,2.065532285740152
