,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
0,2019-01-08T23:11:50,40.0,2.4369407550205766,R,2.0153,1998NU_40s_b2x2-001_R.fit
1,2019-01-08T23:47:13,40.0,1.904675214889897,R,1.9836,1998NU_40s_b2x2-051_R.fit
2,2019-01-09T00:22:39,40.0,1.5969429936128559,R,2.1337,1998NU_40s_b2x2-101_R.fit
3,2019-01-09T00:57:43,40.0,1.4077593725084943,R,2.1199,1998NU_40s_b2x2-151_R.fit
4,2019-01-09T01:32:59,40.0,1.2871765056147941,R,1.8327,1998NU_40s_b2x2-201_R.fit
5,2019-01-09T02:08:12,40.0,1.2141135654128434,R,2.0442,1998NU_40s_b2x2-251_R.fit
6,2019-01-09T02:43:25,40.0,1.1770363157235786,R,2.1262,1998NU_40s_b2x2-301_R.fit
7,2019-01-09T03:20:16,40.0,1.1712408744279215,R,1.7537,1998NU_40s_b2x2-351_R.fit
8,2019-01-09T03:55:30,40.0,1.1964988578542646,R,1.86,1998NU_40s_b2x2-401_R.fit
9,2019-01-09T05:19:56,40.0,1.4114061793250108,R,2.0736,1998NU_40s_b2x2-501_R.fit
10,2019-01-09T06:10:23,40.0,1.7190501862331076,R,2.2773,1998NU_40s_b2x2-551_R.fit
11,2019-01-09T06:20:18,40.0,1.8084343150285989,R,2.364,1998NU_40s_b2x2-565_R.fit
