,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-01-13T01:02:33,R,40.0,1.320952717098382,1.9596,2,1.4307731230595495,1998NU_40s_b2x2-001_R.fit
1,2019-01-13T04:10:22,R,40.0,1.2420631970918503,2.4135,2,1.8285076981035973,1998NU_40s_b2x2-010_R.fit
2,2019-01-13T05:00:32,R,40.0,1.3940884316554232,2.4682,2,1.7447847634285356,1998NU_40s_b2x2-080_R.fit
3,2019-01-13T06:00:04,R,40.0,1.7676876813577307,2.8937,2,1.7739684397421267,1998NU_40s_b2x2-163_R.fit
4,2019-01-13T06:31:35,R,40.0,2.1370893829941666,2.5523,2,1.3962841705527729,1998NU_40s_b2x2-207_R.fit
