,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
52,2019-01-12T22:45:01,60.0,1.1302626682232353,R,1.8677,750/750_60s_b2x2-018_R.fit
53,2019-01-12T22:55:30,60.0,1.13575001671262,R,1.9292,750/750_60s_b2x2-028_R.fit
54,2019-01-12T23:06:00,60.0,1.1438481038094448,R,1.9323,750/750_60s_b2x2-038_R.fit
55,2019-01-12T23:16:28,60.0,1.154604926921489,R,1.9364,750/750_60s_b2x2-048_R.fit
56,2019-01-12T23:26:58,60.0,1.1682155651632526,R,1.9872,750/750_60s_b2x2-058_R.fit
57,2019-01-12T23:37:28,60.0,1.1848142729182496,R,1.9906,750/750_60s_b2x2-068_R.fit
58,2019-01-12T23:47:59,60.0,1.2046416460464902,R,1.9919,750/750_60s_b2x2-078_R.fit
59,2019-01-12T23:58:28,60.0,1.2278508570014457,R,1.9976,750/750_60s_b2x2-088_R.fit
60,2019-01-13T00:09:01,60.0,1.2549952498418866,R,2.0309,750/750_60s_b2x2-098_R.fit
61,2019-01-13T00:19:31,60.0,1.2861666303226735,R,2.0715,750/750_60s_b2x2-108_R.fit
62,2019-01-13T00:30:00,60.0,1.3218885837619998,R,2.4983,750/750_60s_b2x2-118_R.fit
36,2019-01-13T00:38:18,60.0,1.4022135271623608,R,2.1273,2000NG11/2000NG11_60s_b2x2-001_R.fit
0,2019-01-13T00:38:18,60.0,1.4022135271623608,R,2.1273,2000NG11/2000NG11_60s_b2x2-001_R.fit
37,2019-01-13T00:39:21,60.0,1.4071740384209293,R,2.1414,2000NG11/2000NG11_60s_b2x2-002_R.fit
1,2019-01-13T00:39:21,60.0,1.4071740384209293,R,2.1414,2000NG11/2000NG11_60s_b2x2-002_R.fit
2,2019-01-13T00:40:24,60.0,1.4121976234555538,R,2.1833,2000NG11/2000NG11_60s_b2x2-003_R.fit
38,2019-01-13T00:40:24,60.0,1.4121976234555538,R,2.1833,2000NG11/2000NG11_60s_b2x2-003_R.fit
3,2019-01-13T00:41:28,60.0,1.4173741606645698,R,2.2257,2000NG11/2000NG11_60s_b2x2-004_R.fit
39,2019-01-13T00:41:28,60.0,1.4173741606645698,R,2.2257,2000NG11/2000NG11_60s_b2x2-004_R.fit
32,2019-01-13T00:51:59,70.0,1.9263362873594443,R,2.2478,2009SV12/2009SV12_70s_b2x2-001_R.fit
33,2019-01-13T00:53:12,70.0,1.9137437652565172,R,2.4487,2009SV12/2009SV12_70s_b2x2-002_R.fit
34,2019-01-13T00:54:25,70.0,1.9013665758093974,R,2.5264,2009SV12/2009SV12_70s_b2x2-003_R.fit
35,2019-01-13T00:55:38,70.0,1.8892152741703112,R,2.6027,2009SV12/2009SV12_70s_b2x2-004_R.fit
18,2019-01-13T01:20:52,10.0,1.7842408031143002,R,1.9628,GD108/GD108_10s_b2x2-001_R.fit
19,2019-01-13T01:21:05,10.0,1.78178890838784,R,2.0913,GD108/GD108_10s_b2x2-002_R.fit
20,2019-01-13T01:21:18,10.0,1.7793452457886156,R,2.0936,GD108/GD108_10s_b2x2-003_R.fit
21,2019-01-13T01:21:30,10.0,1.777096837631608,R,2.214,GD108/GD108_10s_b2x2-004_R.fit
63,2019-01-13T01:36:54,70.0,1.9830782409807686,No Filter,7.6334,2017BL3/2017BL3_70s_b2x2-003_NF.fit
64,2019-01-13T01:40:33,70.0,1.9677008147429915,No Filter,7.7237,2017BL3/2017BL3_70s_b2x2-006_NF.fit
65,2019-01-13T01:44:12,70.0,1.9531085195995805,No Filter,7.7943,2017BL3/2017BL3_70s_b2x2-009_NF.fit
66,2019-01-13T01:47:52,70.0,1.9393289617992864,No Filter,7.8011,2017BL3/2017BL3_70s_b2x2-012_NF.fit
67,2019-01-13T01:51:31,70.0,1.9263946879599978,No Filter,7.8182,2017BL3/2017BL3_70s_b2x2-015_NF.fit
68,2019-01-13T01:55:11,70.0,1.9141084734834872,No Filter,7.9789,2017BL3/2017BL3_70s_b2x2-018_NF.fit
22,2019-01-13T02:03:00,10.0,1.4273380023456645,R,2.2813,GD108/GD108_10s_b2x2-005_R.fit
23,2019-01-13T02:03:13,10.0,1.4259826250756569,R,2.2964,GD108/GD108_10s_b2x2-006_R.fit
24,2019-01-13T02:03:25,10.0,1.4247348852569426,R,2.3628,GD108/GD108_10s_b2x2-007_R.fit
25,2019-01-13T02:03:38,10.0,1.4233868063330293,R,2.4365,GD108/GD108_10s_b2x2-008_R.fit
