,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
40,2019-01-13T02:10:15,60.0,2.210230871494312,R,2.2973,2000NG11/2000NG11_60s_b2x2-005_R.fit
4,2019-01-13T02:10:15,60.0,2.210230871494312,R,2.2973,2000NG11/2000NG11_60s_b2x2-005_R.fit
41,2019-01-13T02:11:18,60.0,2.2116318905609544,R,2.4765,2000NG11/2000NG11_60s_b2x2-006_R.fit
5,2019-01-13T02:11:18,60.0,2.2116318905609544,R,2.4765,2000NG11/2000NG11_60s_b2x2-006_R.fit
42,2019-01-13T02:12:21,60.0,2.2131144887176917,R,2.5037,2000NG11/2000NG11_60s_b2x2-007_R.fit
6,2019-01-13T02:12:21,60.0,2.2131144887176917,R,2.5037,2000NG11/2000NG11_60s_b2x2-007_R.fit
7,2019-01-13T02:13:24,60.0,2.2146370142286416,R,2.7291,2000NG11/2000NG11_60s_b2x2-008_R.fit
43,2019-01-13T02:13:24,60.0,2.2146370142286416,R,2.7291,2000NG11/2000NG11_60s_b2x2-008_R.fit
28,2019-01-13T02:20:14,70.0,1.3915937872096102,R,2.2103,2009SV17/2009SV17_70s_b2x2-001_R.fit
29,2019-01-13T02:21:27,70.0,1.3877418354634339,R,2.2813,2009SV17/2009SV17_70s_b2x2-002_R.fit
30,2019-01-13T02:22:41,70.0,1.3839483829578798,R,2.3174,2009SV17/2009SV17_70s_b2x2-003_R.fit
31,2019-01-13T02:23:54,70.0,1.3802184828490343,R,2.3422,2009SV17/2009SV17_70s_b2x2-004_R.fit
26,2019-01-13T03:13:10,10.0,1.1345127034915299,R,2.4709,GD108/GD108_10s_b2x2-009_R.fit
27,2019-01-13T03:13:23,10.0,1.1339450506655855,R,2.4824,GD108/GD108_10s_b2x2-010_R.fit
44,2019-01-13T03:35:18,40.0,2.2911370324982765,No Filter,5.2984,2016TL18/2016TL18_40s_b2x2-001_NF.fit
45,2019-01-13T03:37:27,40.0,2.2784075060445894,No Filter,5.8268,2016TL18/2016TL18_40s_b2x2-004_NF.fit
46,2019-01-13T03:39:35,40.0,2.266145338466819,No Filter,5.9082,2016TL18/2016TL18_40s_b2x2-007_NF.fit
47,2019-01-13T03:41:45,40.0,2.2540952836189705,No Filter,5.9278,2016TL18/2016TL18_40s_b2x2-010_NF.fit
48,2019-01-13T03:43:53,40.0,2.2426030091454594,No Filter,6.1436,2016TL18/2016TL18_40s_b2x2-013_NF.fit
49,2019-01-13T03:46:03,40.0,2.231296569798313,No Filter,6.1636,2016TL18/2016TL18_40s_b2x2-016_NF.fit
50,2019-01-13T03:48:12,40.0,2.2205006576818707,No Filter,6.1666,2016TL18/2016TL18_40s_b2x2-019_NF.fit
51,2019-01-13T03:50:21,40.0,2.209987180812052,No Filter,6.2973,2016TL18/2016TL18_40s_b2x2-022_NF.fit
8,2019-01-13T04:17:34,40.0,1.257919408402476,R,2.3871,1998NU/1998NU_40s_b2x2-020_R.fit
9,2019-01-13T04:31:54,40.0,1.2948904134871784,R,2.4088,1998NU/1998NU_40s_b2x2-040_R.fit
10,2019-01-13T04:46:13,40.0,1.3398414708408204,R,2.4156,1998NU/1998NU_40s_b2x2-060_R.fit
11,2019-01-13T05:00:32,40.0,1.3940884316554232,R,2.4167,1998NU/1998NU_40s_b2x2-080_R.fit
12,2019-01-13T05:14:54,40.0,1.4595601031919165,R,2.4218,1998NU/1998NU_40s_b2x2-100_R.fit
13,2019-01-13T05:29:13,40.0,1.538036762512023,R,2.4276,1998NU/1998NU_40s_b2x2-120_R.fit
14,2019-01-13T05:43:33,40.0,1.632845295227773,R,2.4475,1998NU/1998NU_40s_b2x2-140_R.fit
15,2019-01-13T05:57:54,40.0,1.7481688796952264,R,2.4597,1998NU/1998NU_40s_b2x2-160_R.fit
16,2019-01-13T06:12:14,40.0,1.8895130005923433,R,2.6034,1998NU/1998NU_40s_b2x2-180_R.fit
17,2019-01-13T06:26:35,40.0,2.065532285740152,R,2.7309,1998NU/1998NU_40s_b2x2-200_R.fit
