,NAME,DATE-OBS,EXP-TIME,FILTER,AIRMASS
0,1998OH/1998OH_90s_b2x2-010_R.fit,2019-01-30T00:00:36,90.0,R,1.343187147694551
1,1998OH/1998OH_90s_b2x2-020_R.fit,2019-01-30T00:16:06,90.0,R,1.4241135319722649
2,1998OH/1998OH_90s_b2x2-030_R.fit,2019-01-30T00:31:34,90.0,R,1.5219453337421727
3,1998OH/1998OH_90s_b2x2-040_R.fit,2019-01-30T00:47:03,90.0,R,1.641612219294747
4,1998OH/1998OH_90s_b2x2-050_R.fit,2019-01-30T01:02:31,90.0,R,1.789447076800531
13,A10BMLZ/A10BMLZ_10s_b2x2-010_SF.fit,2019-01-30T01:26:01,10.0,No Filter,1.767499135509606
14,A10BMLZ/A10BMLZ_10s_b2x2-020_SF.fit,2019-01-30T01:28:08,10.0,No Filter,1.7750855959529521
15,A10BMLZ/A10BMLZ_10s_b2x2-030_SF.fit,2019-01-30T01:30:18,10.0,No Filter,1.7831012888075688
16,A10BMLZ/A10BMLZ_10s_b2x2-040_SF.fit,2019-01-30T01:32:27,10.0,No Filter,1.7912570122692886
17,A10BMLZ/A10BMLZ_10s_b2x2-050_SF.fit,2019-01-30T01:34:34,10.0,No Filter,1.7996245298930187
18,A10BMLZ/A10BMLZ_10s_b2x2-060_SF.fit,2019-01-30T01:36:40,10.0,No Filter,1.808192028594177
19,A10BMLZ/A10BMLZ_10s_b2x2-070_SF.fit,2019-01-30T01:38:46,10.0,No Filter,1.8169467679890374
5,2003YE45/2003YE45_90s_b2x2-005_R.fit,2019-01-30T03:23:22,90.0,R,1.476814218350719
6,2003YE45/2003YE45_90s_b2x2-010_R.fit,2019-01-30T03:31:06,90.0,R,1.5317731080262222
7,2003YE45/2003YE45_90s_b2x2-015_R.fit,2019-01-30T03:38:48,90.0,R,1.5925994230198657
8,2003YE45/2003YE45_90s_b2x2-020_R.fit,2019-01-30T03:46:33,90.0,R,1.6608840409195738
9,2003YE45/2003YE45_90s_b2x2-025_R.fit,2019-01-30T03:54:18,90.0,R,1.7373692654053123
10,2003YE45/2003YE45_90s_b2x2-030_R.fit,2019-01-30T04:02:01,90.0,R,1.8230334832443982
11,2003YE45/2003YE45_90s_b2x2-035_R.fit,2019-01-30T04:09:43,90.0,R,1.9196439148894338
12,2003YE45/2003YE45_90s_b2x2-040_R.fit,2019-01-30T04:23:30,90.0,R,2.127300026739419
20,2003CP20/2003CP20_90s_b2x2-005_R.fit,2019-01-30T06:39:27,90.0,R,2.1678710866489705
21,2003CP20/2003CP20_90s_b2x2-010_R.fit,2019-01-30T06:47:12,90.0,R,2.0463755117506763
22,2003CP20/2003CP20_90s_b2x2-015_R.fit,2019-01-30T06:54:57,90.0,R,1.939967650933358
23,2003CP20/2003CP20_90s_b2x2-020_R.fit,2019-01-30T07:02:41,90.0,R,1.8463693512874615
24,2003CP20/2003CP20_90s_b2x2-025_R.fit,2019-01-30T07:10:25,90.0,R,1.76339596704954
