,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
0,2019-01-29T01:00:54,0.1,1.3162256925737044,R,3.1463,HIP41621/HIP41621_b1x1-010_R.fit
1,2019-01-29T01:11:59,0.1,1.2948371164173624,R,3.2201,HIP41621/HIP41621_b1x1-020_R.fit
2,2019-01-29T01:23:04,0.1,1.2766689768223483,R,3.8961,HIP41621/HIP41621_b1x1-030_R.fit
3,2019-01-29T01:34:05,0.1,1.261604323833816,R,4.4076,HIP41621/HIP41621_b1x1-040_R.fit
4,2019-01-29T01:45:09,0.1,1.2493078885875848,R,4.4562,HIP41621/HIP41621_b1x1-050_R.fit
5,2019-01-29T01:56:16,0.1,1.239690086749302,R,4.7403,HIP41621/HIP41621_b1x1-060_R.fit
6,2019-01-29T03:46:46,0.05,1.434725076734962,R,1.507,HIP41296/HIP41296_b1x1-010_R.fit
7,2019-01-29T03:57:55,0.05,1.4569678833351096,R,2.8763,HIP41296/HIP41296_b1x1-020_R.fit
8,2019-01-29T04:09:03,0.05,1.4828063807886578,R,3.3361,HIP41296/HIP41296_b1x1-030_R.fit
9,2019-01-29T04:20:14,0.05,1.5127016707552459,R,3.5106,HIP41296/HIP41296_b1x1-040_R.fit
10,2019-01-29T04:31:27,0.05,1.547004454972386,R,3.7661,HIP41296/HIP41296_b1x1-050_R.fit
11,2019-01-29T04:42:40,0.05,1.5860541496030556,R,4.2358,HIP41296/HIP41296_b1x1-060_R.fit
12,2019-01-29T04:53:52,0.05,1.630286733983411,R,4.6554,HIP41296/HIP41296_b1x1-070_R.fit
13,2019-01-29T05:05:04,0.05,1.6803608512444552,R,6.902,HIP41296/HIP41296_b1x1-080_R.fit
