,NAME,DATE-OBS,EXP-TIME,FILTER,AIRMASS
0,1998OH/1998OH_90s_b2x2-010_R.fit,2019-01-30T22:39:11,90.0,R,1.103105823737674
1,1998OH/1998OH_90s_b2x2-020_R.fit,2019-01-30T22:54:43,90.0,R,1.1342680335816746
2,1998OH/1998OH_90s_b2x2-030_R.fit,2019-01-30T23:10:14,90.0,R,1.1723752500751745
6,A10BMLZ/A10BMLZ_10s_b2x2-020_SF.fit,2019-01-31T01:16:38,10.0,No Filter,1.716314008098277
7,A10BMLZ/A10BMLZ_10s_b2x2-040_SF.fit,2019-01-31T01:21:03,10.0,No Filter,1.7313074420192707
8,A10BMLZ/A10BMLZ_10s_b2x2-060_SF.fit,2019-01-31T01:25:25,10.0,No Filter,1.747120371271066
3,2003YE45/2003YE45_50s_b2x2-045_R.fit,2019-01-31T02:21:55,50.0,R,1.2083526874997306
4,2003YE45/2003YE45_50s_b2x2-090_R.fit,2019-01-31T03:01:50,50.0,R,1.3818573200449271
5,2003YE45/2003YE45_50s_b2x2-135_R.fit,2019-01-31T03:42:00,50.0,R,1.6754454142831858
9,2003CP20/2003CP20_50s_b2x2-010_R.fit,2019-01-31T06:54:42,50.0,R,1.9425243364957316
10,2003CP20/2003CP20_50s_b2x2-020_R.fit,2019-01-31T07:03:34,50.0,R,1.8360203918089868
11,2003CP20/2003CP20_50s_b2x2-030_R.fit,2019-01-31T07:12:26,50.0,R,1.7431856137063177
