,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-01-10T23:59:03,R,40.0,1.7060653189110746,1.8613,2,1.1656138271740561,1998NU_40s_b2x2-001_R.fit
1,2019-01-11T01:00:32,R,40.0,1.3600308397166567,1.7924,2,1.2860012403907743,1998NU_40s_b2x2-088_R.fit
2,2019-01-11T02:00:18,R,40.0,1.2106589047067842,2.1919,2,1.6863330911633183,1998NU_40s_b2x2-166_R.fit
3,2019-01-11T03:00:05,R,40.0,1.1670134502755276,1.854,2,1.4581423342486568,1998NU_40s_b2x2-192_R.fit
4,2019-01-11T04:00:26,R,40.0,1.2118134797668385,1.6511,2,1.269543587038485,1998NU_40s_b2x2-275_R.fit
5,2019-01-11T04:49:14,R,40.0,1.3248778962932883,1.6419,2,1.196676868298593,1998NU_40s_b2x2-333_R.fit
