,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
3,2019-01-31T22:57:17,50.0,1.0679884013810166,R,1.6422,2003YE45/2003YE45_50s_b2x2-060_R.fit
0,2019-01-31T23:57:49,120.0,1.361477048005518,R,2.0458,1998OH/1998OH_120s_b2x2-002_R.fit
1,2019-01-31T23:59:53,120.0,1.371870394931034,R,2.4991,1998OH/1998OH_120s_b2x2-003_R.fit
2,2019-02-01T00:01:55,120.0,1.382353520252055,R,2.5832,1998OH/1998OH_120s_b2x2-004_R.fit
6,2019-02-01T01:02:17,10.0,1.6535394028787314,No Filter,2.2717,A10BMLZ/A10BMLZ_10s_b2x2-020_SF.fit
7,2019-02-01T01:06:36,10.0,1.6659359336431054,No Filter,2.5871,A10BMLZ/A10BMLZ_10s_b2x2-040_SF.fit
8,2019-02-01T01:10:56,10.0,1.6792812091626472,No Filter,2.7124,A10BMLZ/A10BMLZ_10s_b2x2-060_SF.fit
9,2019-02-01T01:41:50,15.0,1.1830143430355429,R,2.3736,GD108/GD108_15s_b2x2-008_R.fit
10,2019-02-01T02:29:18,15.0,1.0680258498864377,R,2.43,GD108/GD108_15s_b2x2-016_R.fit
11,2019-02-01T02:40:47,15.0,1.0498160446384308,R,4.3623,GD108/GD108_15s_b2x2-024_R.fit
4,2019-02-01T02:59:42,50.0,1.4045991043706585,R,2.1831,2003YE45/2003YE45_50s_b2x2-120_R.fit
5,2019-02-01T03:54:45,50.0,1.8866594553007234,R,2.3093,2003YE45/2003YE45_50s_b2x2-180_R.fit
