,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
5,2019-01-13T22:37:41,60.0,1.1302276493546053,R,2.9474,750/750_60s_b2x2-015_R.fit
6,2019-01-13T22:57:01,60.0,1.1418735997244391,R,3.2374,750/750_60s_b2x2-030_R.fit
7,2019-01-13T23:12:39,60.0,1.157895957959359,R,3.3129,750/750_60s_b2x2-045_R.fit
8,2019-01-13T23:28:23,60.0,1.1804310740009565,R,3.4995,750/750_60s_b2x2-060_R.fit
9,2019-01-13T23:44:09,60.0,1.2100883384877712,R,3.5371,750/750_60s_b2x2-075_R.fit
10,2019-01-13T23:59:54,60.0,1.2476490370869044,R,3.5393,750/750_60s_b2x2-090_R.fit
11,2019-01-14T00:15:39,60.0,1.2943100928123157,R,3.6369,750/750_60s_b2x2-105_R.fit
12,2019-01-14T00:31:24,60.0,1.3516442597544422,R,3.6913,750/750_60s_b2x2-120_R.fit
13,2019-01-14T00:47:09,60.0,1.421772783537255,R,3.7255,750/750_60s_b2x2-135_R.fit
14,2019-01-14T01:02:56,60.0,1.5077873336867929,R,3.8519,750/750_60s_b2x2-150_R.fit
15,2019-01-14T01:30:45,60.0,1.7109899761004321,R,3.9756,750/750_60s_b2x2-175_R.fit
0,2019-01-14T02:09:41,40.0,1.1798116709623434,R,3.2444,1998NU/1998NU_40s_b2x2-010_R.fit
1,2019-01-14T02:16:49,40.0,1.1739588411282218,R,4.1286,1998NU/1998NU_40s_b2x2-020_R.fit
2,2019-01-14T02:23:57,40.0,1.1693681707063042,R,4.1905,1998NU/1998NU_40s_b2x2-030_R.fit
3,2019-01-14T02:31:05,40.0,1.1660152021159318,R,4.2274,1998NU/1998NU_40s_b2x2-040_R.fit
4,2019-01-14T02:43:07,40.0,1.1631178067283345,R,5.0264,1998NU/1998NU_40s_b2x2-050_R.fit
