,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-04-02T23:55:27,R,40.0,1.0407987786940425,2.4181,2,1.5468777415328852,1998NU_40s_b2x2-001_R.fit
1,2019-04-03T00:00:28,R,40.0,1.0446542263915388,3.0461,2,1.9442961440244388,1998NU_40s_b2x2-008_R.fit
2,2019-04-03T01:00:03,R,40.0,1.1358373090398408,3.1894,2,1.9360702410848807,1998NU_40s_b2x2-083_R.fit
0,2019-04-04T01:19:29,R,40.0,1.1914803306475354,2.2971,2,1.3549696672755387,1998NU_40s_b2x2-001_R.fit
1,2019-04-04T02:00:22,R,40.0,1.355549278997404,2.4023,2,1.3114745061118707,1998NU_40s_b2x2-058_R.fit
2,2019-04-04T02:19:45,R,40.0,1.468386231956618,2.3201,2,1.207269751639814,1998NU_40s_b2x2-085_R.fit
0,2019-04-05T02:39:59,R,40.0,1.61624777903122,3.1326,2,1.5388701535098799,1998NU_40s_b2x2-001_R.fit
0,2019-04-12T00:33:20,R,40.0,1.0849684438055347,4.4423,2,2.7717842182231545,1998NU_40s_b2x2-001_R.fit
1,2019-04-12T03:28:34,R,40.0,2.3172214382483225,3.5952,2,1.422801551254645,1998NU_40s_b2x2-012_R.fit
