,FILTER,EXP-TIME,DATE-OBS,XBINNING,IMAGE-NAME
73,R,90.0,2019-06-02T01:52:32,2,1998NU_90s_b2x2-074_R.fit
74,R,90.0,2019-06-02T01:54:05,2,1998NU_90s_b2x2-075_R.fit
75,R,90.0,2019-06-02T01:55:37,2,1998NU_90s_b2x2-076_R.fit
76,R,90.0,2019-06-02T01:57:10,2,1998NU_90s_b2x2-077_R.fit
77,R,90.0,2019-06-02T01:58:43,2,1998NU_90s_b2x2-078_R.fit
78,R,90.0,2019-06-02T02:00:15,2,1998NU_90s_b2x2-079_R.fit
79,R,90.0,2019-06-02T02:01:47,2,1998NU_90s_b2x2-080_R.fit
80,R,90.0,2019-06-02T02:03:20,2,1998NU_90s_b2x2-081_R.fit
81,R,90.0,2019-06-02T02:04:53,2,1998NU_90s_b2x2-082_R.fit
82,R,90.0,2019-06-02T02:06:25,2,1998NU_90s_b2x2-083_R.fit
83,R,90.0,2019-06-02T02:07:57,2,1998NU_90s_b2x2-084_R.fit
84,R,90.0,2019-06-02T02:09:29,2,1998NU_90s_b2x2-085_R.fit
85,R,90.0,2019-06-02T02:11:02,2,1998NU_90s_b2x2-086_R.fit
86,R,90.0,2019-06-02T02:12:34,2,1998NU_90s_b2x2-087_R.fit
87,R,90.0,2019-06-02T02:14:07,2,1998NU_90s_b2x2-088_R.fit
88,R,90.0,2019-06-02T02:15:39,2,1998NU_90s_b2x2-089_R.fit
89,R,90.0,2019-06-02T02:17:12,2,1998NU_90s_b2x2-090_R.fit
90,R,90.0,2019-06-02T02:18:45,2,1998NU_90s_b2x2-091_R.fit
91,R,90.0,2019-06-02T02:20:17,2,1998NU_90s_b2x2-092_R.fit
92,R,90.0,2019-06-02T02:21:49,2,1998NU_90s_b2x2-093_R.fit
93,R,90.0,2019-06-02T02:23:22,2,1998NU_90s_b2x2-094_R.fit
94,R,90.0,2019-06-02T02:24:54,2,1998NU_90s_b2x2-095_R.fit
95,R,90.0,2019-06-02T02:26:27,2,1998NU_90s_b2x2-096_R.fit
96,R,90.0,2019-06-02T02:27:59,2,1998NU_90s_b2x2-097_R.fit
97,R,90.0,2019-06-02T02:29:32,2,1998NU_90s_b2x2-098_R.fit
98,R,90.0,2019-06-02T02:31:04,2,1998NU_90s_b2x2-099_R.fit
99,R,90.0,2019-06-02T02:32:37,2,1998NU_90s_b2x2-100_R.fit
100,R,90.0,2019-06-02T02:34:09,2,1998NU_90s_b2x2-101_R.fit
101,R,90.0,2019-06-02T02:35:43,2,1998NU_90s_b2x2-102_R.fit
102,R,90.0,2019-06-02T02:37:18,2,1998NU_90s_b2x2-103_R.fit
103,R,90.0,2019-06-02T02:38:50,2,1998NU_90s_b2x2-104_R.fit
104,R,90.0,2019-06-02T02:40:23,2,1998NU_90s_b2x2-105_R.fit
105,R,90.0,2019-06-02T02:41:55,2,1998NU_90s_b2x2-106_R.fit
106,R,90.0,2019-06-02T02:43:27,2,1998NU_90s_b2x2-107_R.fit
107,R,20.0,2019-06-01T21:39:45,2,1998OH_20s_b2x2-001_R.fit
108,R,20.0,2019-06-01T21:40:07,2,1998OH_20s_b2x2-002_R.fit
109,R,20.0,2019-06-01T21:40:29,2,1998OH_20s_b2x2-003_R.fit
110,R,20.0,2019-06-01T21:40:52,2,1998OH_20s_b2x2-004_R.fit
111,R,20.0,2019-06-01T21:41:15,2,1998OH_20s_b2x2-005_R.fit
112,R,20.0,2019-06-01T21:41:37,2,1998OH_20s_b2x2-006_R.fit
113,R,20.0,2019-06-01T21:42:00,2,1998OH_20s_b2x2-007_R.fit
114,R,20.0,2019-06-01T21:42:23,2,1998OH_20s_b2x2-008_R.fit
115,R,20.0,2019-06-01T21:42:46,2,1998OH_20s_b2x2-009_R.fit
116,R,20.0,2019-06-01T21:43:09,2,1998OH_20s_b2x2-010_R.fit
117,R,20.0,2019-06-01T21:43:31,2,1998OH_20s_b2x2-011_R.fit
118,R,20.0,2019-06-01T21:43:54,2,1998OH_20s_b2x2-012_R.fit
119,R,20.0,2019-06-01T21:44:16,2,1998OH_20s_b2x2-013_R.fit
120,R,20.0,2019-06-01T21:44:39,2,1998OH_20s_b2x2-014_R.fit
121,R,20.0,2019-06-01T21:45:01,2,1998OH_20s_b2x2-015_R.fit
122,R,20.0,2019-06-01T21:45:24,2,1998OH_20s_b2x2-016_R.fit
123,R,20.0,2019-06-01T21:45:47,2,1998OH_20s_b2x2-017_R.fit
124,R,20.0,2019-06-01T21:46:10,2,1998OH_20s_b2x2-018_R.fit
125,R,20.0,2019-06-01T21:46:32,2,1998OH_20s_b2x2-019_R.fit
126,R,20.0,2019-06-01T21:46:55,2,1998OH_20s_b2x2-020_R.fit
127,R,20.0,2019-06-01T21:47:18,2,1998OH_20s_b2x2-021_R.fit
128,R,20.0,2019-06-01T21:47:41,2,1998OH_20s_b2x2-022_R.fit
129,R,20.0,2019-06-01T21:48:04,2,1998OH_20s_b2x2-023_R.fit
130,R,20.0,2019-06-01T21:48:26,2,1998OH_20s_b2x2-024_R.fit
131,R,20.0,2019-06-01T21:48:48,2,1998OH_20s_b2x2-025_R.fit
132,R,20.0,2019-06-01T21:49:10,2,1998OH_20s_b2x2-026_R.fit
133,R,20.0,2019-06-01T21:49:33,2,1998OH_20s_b2x2-027_R.fit
134,R,20.0,2019-06-01T21:49:56,2,1998OH_20s_b2x2-028_R.fit
135,R,20.0,2019-06-01T21:50:19,2,1998OH_20s_b2x2-029_R.fit
136,R,20.0,2019-06-01T21:50:42,2,1998OH_20s_b2x2-030_R.fit
137,R,20.0,2019-06-01T21:51:05,2,1998OH_20s_b2x2-031_R.fit
138,R,20.0,2019-06-01T21:51:28,2,1998OH_20s_b2x2-032_R.fit
139,R,20.0,2019-06-01T21:51:51,2,1998OH_20s_b2x2-033_R.fit
140,R,20.0,2019-06-01T21:52:14,2,1998OH_20s_b2x2-034_R.fit
141,R,20.0,2019-06-01T21:52:37,2,1998OH_20s_b2x2-035_R.fit
142,R,20.0,2019-06-01T21:53:01,2,1998OH_20s_b2x2-036_R.fit
143,R,20.0,2019-06-01T21:53:24,2,1998OH_20s_b2x2-037_R.fit
144,R,20.0,2019-06-01T21:53:47,2,1998OH_20s_b2x2-038_R.fit
145,R,20.0,2019-06-01T21:54:10,2,1998OH_20s_b2x2-039_R.fit
146,R,20.0,2019-06-01T21:54:34,2,1998OH_20s_b2x2-040_R.fit
147,R,20.0,2019-06-01T21:54:56,2,1998OH_20s_b2x2-041_R.fit
148,R,20.0,2019-06-01T21:55:21,2,1998OH_20s_b2x2-042_R.fit
149,R,20.0,2019-06-01T21:55:43,2,1998OH_20s_b2x2-043_R.fit
150,R,20.0,2019-06-01T21:56:06,2,1998OH_20s_b2x2-044_R.fit
151,R,20.0,2019-06-01T21:56:28,2,1998OH_20s_b2x2-045_R.fit
152,R,20.0,2019-06-01T21:56:51,2,1998OH_20s_b2x2-046_R.fit
153,R,20.0,2019-06-01T21:57:14,2,1998OH_20s_b2x2-047_R.fit
154,R,20.0,2019-06-01T21:57:36,2,1998OH_20s_b2x2-048_R.fit
155,R,20.0,2019-06-01T21:57:58,2,1998OH_20s_b2x2-049_R.fit
156,R,20.0,2019-06-01T21:58:21,2,1998OH_20s_b2x2-050_R.fit
157,R,20.0,2019-06-01T21:58:44,2,1998OH_20s_b2x2-051_R.fit
158,R,20.0,2019-06-01T21:59:07,2,1998OH_20s_b2x2-052_R.fit
159,R,20.0,2019-06-01T21:59:29,2,1998OH_20s_b2x2-053_R.fit
160,R,20.0,2019-06-01T21:59:52,2,1998OH_20s_b2x2-054_R.fit
161,R,20.0,2019-06-01T22:00:15,2,1998OH_20s_b2x2-055_R.fit
162,R,20.0,2019-06-01T22:00:37,2,1998OH_20s_b2x2-056_R.fit
163,R,20.0,2019-06-01T22:01:00,2,1998OH_20s_b2x2-057_R.fit
164,R,20.0,2019-06-01T22:01:22,2,1998OH_20s_b2x2-058_R.fit
165,R,20.0,2019-06-01T22:01:45,2,1998OH_20s_b2x2-059_R.fit
166,R,20.0,2019-06-01T22:02:07,2,1998OH_20s_b2x2-060_R.fit
167,R,20.0,2019-06-01T22:02:29,2,1998OH_20s_b2x2-061_R.fit
168,R,20.0,2019-06-01T22:02:52,2,1998OH_20s_b2x2-062_R.fit
