,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-08-24T02:25:51,R,30.0,1.0427957325141164,4.7403,1,1.5144609604426404,2014NW65_30s-001_R.fit
1,2019-08-24T03:25:48,R,30.0,1.1086214601854951,4.1282,1,1.2713424923402865,2014NW65_30s-023_R.fit
2,2019-08-24T04:04:08,R,30.0,1.113177772706228,3.7538,1,1.1531988917175922,2017RG16_30s-001_R.fit
3,2019-08-24T05:01:18,R,30.0,1.2120059098344995,4.5479,1,1.3276385864748383,2013MZ11_30s-001_R.fit
0,2019-08-25T01:44:14,R,30.0,1.040794623099994,3.7876,1,1.2114817769512354,2014NW65_30s-001_R.fit
1,2019-08-25T02:44:04,R,30.0,1.1800946130388723,3.5503,1,1.0531415747129649,1999LE31_30s-005_R.fit
2,2019-08-25T03:04:28,R,30.0,1.1896658072418842,4.3178,1,1.274615913329369,2017RG16_30s-015_R.fit
3,2019-08-25T04:40:02,R,30.0,1.1040701421708872,3.4972,1,1.079678050855983,2017RG16_30s-016_R.fit
4,2019-08-25T05:00:24,R,30.0,1.3003822330637838,3.5899,1,1.0046424775690779,2014LN28_30s-010_R.fit
5,2019-08-25T06:22:03,R,30.0,1.056584997909886,3.3489,1,1.061527666012027,7968_30s-016_R.fit
6,2019-08-25T06:30:29,R,30.0,1.0627841127900202,3.3661,1,1.063241167385776,7968_30s-030_R.fit
0,2019-08-27T01:44:43,R,30.0,1.0385718905318095,5.968,1,1.9113432097734848,2014NW65_30s_b1x1-001_R.fit
1,2019-08-27T02:44:06,R,30.0,1.024290094137968,5.4274,1,1.7527091288579135,2013QQ95_30s_b1x1-014_R.fit
2,2019-08-27T03:40:01,R,30.0,1.053469145816449,4.3084,1,1.3680901841863617,2013MZ11_30s_b1x1-014_R.fit
